"last_name, first_name","player_id","year","player_age","p_game","p_formatted_ip","pa","ab","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","p_earned_run","p_run","p_save","p_blown_save","p_out","p_win","p_loss","p_shutout","p_era","p_opp_batting_avg","p_opp_on_base_avg","p_total_stolen_base","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone","edge","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","batted_ball","f_strike_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","n_sl_formatted","sl_avg_speed","sl_avg_spin","n_ch_formatted","ch_avg_speed","ch_avg_spin","n_cu_formatted","cu_avg_speed","cu_avg_spin","n_si_formatted","si_avg_speed","si_avg_spin","n_fc_formatted","fc_avg_speed","fc_avg_spin","n_fs_formatted","fs_avg_speed","fs_avg_spin","n_kn_formatted","kn_avg_speed","kn_avg_spin","n_st_formatted","st_avg_speed","st_avg_spin","n_sv_formatted","sv_avg_speed","sv_avg_spin","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin"
"Zimmermann, Bruce","669145","2022","27","15","73.2","320","302","97","53","21","2","21","49","12",15.3,3.8,".321",".613",".348","0.961","0.292",".323","49","52","0","0","221","2","5","0","5.99",,,"2",".301",".555",".407",".381",".332",".254",,,,,,,,,"91.1","14",39.3,"34",13.2,42.8,"81.114069048","94.98236502",67.5,14.7,31.5,29.7,69.7,"49","165",46.4,"524",67.7,8.2,"332","442","356","1130",84.8,"60","409","606","539",19,50.8,46.3,34.2,19.5,"257",65.9,40.1,27.6,25.7,6.6,43,"29","90.6","2335","18.3","85.1","2433","29.3","84.7","1938","13.3","81.1","2405","10.1","90.5","2312",,,,,,,,,,,,,,,,"39.1","90.6","2329"
"Severino, Luis","622663","2022","28","19","102.0","405","368","72","42","16","0","14","112","30",27.7,7.4,".196",".353",".263","0.616","0.157",".239","36","37","0","0","306","7","3","0","3.18",,,"1",".203",".328",".273",".268",".270",".125",,,,,,,,,"89.4","11",33.6,"18",6.9,41.6,"78.892817222","94.25243631",70.7,20.4,27,47.4,52.1,"102","215",49.1,"797",79.7,7.3,"366","931","338","1639",79.2,"119","583","825","708",27.8,49.2,37.1,39,23.9,"259",64,45.2,25.9,22.4,6.6,42.8,"48.2","96.3","2257","20.4","85.1","2684","22.4","88.8","1558",,,,"1.1","95.9","2207","8","90.3","2427",,,,,,,,,,,,,"57.2","95.5","2280"
"Williams, Trevor","592866","2022","30","30","89.2","372","344","87","58","15","2","12","84","23",22.6,6.2,".253",".413",".307","0.720","0.160",".302","32","34","1","1","269","3","5","0","3.21",,,"1",".232",".393",".314",".298",".288",".161",,,,,,,,,"87.8","18.3",33.3,"20",7.7,37.2,"76.198450625","93.735487227",72.2,14.9,27.6,45.1,54.9,"92","204",52.5,"738",87.6,6.3,"184","921","302","1407",84.9,"72","483","669","609",23.9,48.8,38.7,39.1,21.8,"261",68.5,36.8,28,26.4,8.4,20.8,"52.8","91.2","2242","11.7","83.2","2248","13.1","84.4","1797","9.7","78.6","2256","12.7","89","1918",,,,,,,,,,,,,,,,"65.5","90.8","2179"
"Howard, Sam","607572","2022","29","3","2.0","12","7","2","1","0","0","1","1","4",8.3,33.3,".286",".714",".583","1.297","0.428",".200","2","2","0","0","6","0","0","0","9.00",,,"0",".257",".498",".536",".479",".567",".241",,,,,,,,,"84.9","12.5",50,"1",16.7,16.7,"73.399636667","92.156046667",61.5,6.3,15.6,60,40,"3","5",55.2,"32",50,6.9,"0","31","27","58",93.8,"1","16","26","24",19,36.2,0,66.7,33.3,"6",75,33.3,50,0,16.7,42.4,"53.4","91.3","2204","46.6","83","2155",,,,,,,,,,,,,,,,,,,,,,,,,"53.4","91.3","2204"
"Alcala, Jorge","660896","2022","26","2","2.1","10","8","2","2","0","0","0","2","2",20,20,".250",".250",".400","0.650","0.000",".333","0","0","0","0","7","0","0","0","0.00",,,"0",".248",".284",".315",".330",".399",".036",,,,,,,,,"80","15",16.7,"0",0,16.7,"72.769726667","89.329516667",71.4,26.7,10.5,100,0,"2","2",47.5,"19",100,5,"3","15","22","40",73.3,"4","15","21","16",35.3,42.5,33.3,66.7,0,"6",60,50,33.3,16.7,0,46.9,"12.5","94.1","2254","55","86.1","2407","7.5","86.8","2257",,,,"25","94.4","2220",,,,,,,,,,,,,,,,"37.5","94.3","2231"
"Wilson, Justin","458677","2022","34","5","3.2","13","13","3","1","2","0","0","7","0",53.8,0,".231",".385",".231","0.616","0.154",".500","1","1","0","0","11","0","1","0","2.45",,,"0",".165",".279",".262",".187",".165",".114",,,,,,,,,"93.5","7.2",50,"1",16.7,33.3,"86.11619","95.916775",61.5,50,32.1,33.3,66.7,"3","9",51.9,"28",66.7,5.6,"0","37","17","54",50,"8","16","26","29",44,46.3,33.3,50,16.7,"6",61.5,50,0,50,0,46.5,"35.2","95.1","2305","31.5","86","2563",,,,,,,,,,"33.3","91.5","2448",,,,,,,,,,,,,"68.5","93.4","2375"
"Hendricks, Kyle","543294","2022","32","16","84.1","356","327","85","49","18","3","15","66","24",18.5,6.7,".260",".471",".316","0.787","0.211",".285","45","45","0","0","253","4","6","0","4.80",,,"9",".270",".465",".341",".345",".326",".196",,,,,,,,,"87.5","16.5",40.5,"26",9.9,38.9,"75.450491163","93.879544922",63.9,16.5,30.6,36.6,63,"83","227",55,"741",72.6,5.4,"413","774","160","1347",83.2,"64","387","606","612",23.9,45.6,35.5,37.4,27.1,"262",62.9,37,27.9,27.9,7.3,47.3,"26.6","86.9","2020",,,,"30.7","79.9","2040","11.9","72.7","2983","30.9","86.5","1890",,,,,,,,,,,,,,,,"57.5","86.7","1950"
"Walsh, Jake","673904","2022","26","3","2.2","15","12","3","3","0","0","0","5","2",33.3,13.3,".250",".250",".400","0.650","0.000",".429","4","4","0","0","8","0","1","0","13.50",,,"0",".209",".365",".317",".337",".368",".156",,,,,,,,,"92.7","18.2",42.9,"1",14.3,71.4,"85.8277225","96.24688",70,23.8,20,14.3,85.7,"1","7",53.8,"35",80,7.7,"5","40","20","65",76.2,"5","21","30","30",21.4,43.1,28.6,42.9,28.6,"7",46.7,42.9,42.9,14.3,0,47.5,,,,,,,"7.7","82.5","1352","30.8","81.4","2425","61.5","95.1","2324",,,,,,,,,,,,,,,,"61.5","95.1","2324"
"Feliz, Michael","593140","2022","29","1","3.1","14","11","1","0","0","0","1","4","3",28.6,21.4,".091",".364",".286","0.650","0.273",".000","1","2","0","0","10","0","0","0","2.70",,,"2",".240",".511",".296",".401",".403",".271",,,,,,,,,"88.6","-2.8",42.9,"1",14.3,42.9,"79.3671475","94.547227143",58.6,11.8,21.9,71.4,28.6,"5","7",52.5,"32",66.7,9.8,"8","28","25","61",88.2,"2","17","29","30",29.2,39.3,85.7,14.3,0,"7",42.9,71.4,14.3,14.3,0,55.5,"45.9","93.9","2085","41","82.4","2227","13.1","86.3","1670",,,,,,,,,,,,,,,,,,,,,,"45.9","93.9","2085"
"Kluber, Corey","446372","2022","36","31","164.0","689","650","178","123","32","3","20","139","21",20.2,3,".274",".425",".304","0.729","0.151",".318","79","82","0","0","492","10","10","0","4.34",,,"5",".261",".416",".316",".310",".294",".155",,,,,,,,,"87.1","18.5",35.8,"36",6.9,34.7,"75.470981451","93.389888686",66.2,15.2,35.7,40.7,59.3,"175","430",49.1,"1205",75.3,7.9,"252","1533","669","2454",84.3,"126","827","1249","1086",23.9,51.2,37.2,40.8,22,"519",68.4,36.8,27,25.4,10.8,32,"1.5","88.9","2271",,,,"10.3","82.9","1652","27.3","80.7","2526","26.8","88.9","2075","34.2","86.3","2463",,,,,,,,,,,,,"62.5","87.5","2292"
